chi2cdf table of deg 1
x	chi2cdf(x)	1-chi2cdf(x)
53.37	1.000000e-00	2.763345e-13
53.36	1.000000e-00	2.776668e-13
53.35	1.000000e-00	2.791101e-13
53.34	1.000000e-00	2.805534e-13
53.33	1.000000e-00	2.819966e-13
53.32	1.000000e-00	2.834399e-13
53.31	1.000000e-00	2.848832e-13
53.30	1.000000e-00	2.863265e-13
53.29	1.000000e-00	2.877698e-13
53.28	1.000000e-00	2.892131e-13
53.27	1.000000e-00	2.907674e-13
53.26	1.000000e-00	2.922107e-13
53.25	1.000000e-00	2.936540e-13
53.24	1.000000e-00	2.952083e-13
53.23	1.000000e-00	2.966516e-13
53.22	1.000000e-00	2.982059e-13
53.21	1.000000e-00	2.997602e-13
53.20	1.000000e-00	3.012035e-13
53.19	1.000000e-00	3.027578e-13
53.18	1.000000e-00	3.043121e-13
53.17	1.000000e-00	3.058664e-13
53.16	1.000000e-00	3.074208e-13
53.15	1.000000e-00	3.089751e-13
53.14	1.000000e-00	3.106404e-13
53.13	1.000000e-00	3.121947e-13
53.12	1.000000e-00	3.137490e-13
53.11	1.000000e-00	3.154144e-13
53.10	1.000000e-00	3.169687e-13
53.09	1.000000e-00	3.186340e-13
53.08	1.000000e-00	3.201883e-13
53.07	1.000000e-00	3.218537e-13
53.06	1.000000e-00	3.235190e-13
53.05	1.000000e-00	3.251843e-13
53.04	1.000000e-00	3.268497e-13
53.03	1.000000e-00	3.285150e-13
53.02	1.000000e-00	3.301803e-13
53.01	1.000000e-00	3.318457e-13
53.00	1.000000e-00	3.335110e-13
52.99	1.000000e-00	3.352874e-13
52.98	1.000000e-00	3.369527e-13
52.97	1.000000e-00	3.387290e-13
52.96	1.000000e-00	3.403944e-13
52.95	1.000000e-00	3.421707e-13
52.94	1.000000e-00	3.439471e-13
52.93	1.000000e-00	3.456124e-13
52.92	1.000000e-00	3.473888e-13
52.91	1.000000e-00	3.491651e-13
52.90	1.000000e-00	3.509415e-13
52.89	1.000000e-00	3.527179e-13
