#GeneID Symbol Synonyms
613	BCR	ALL|BCR/FGFR1|BCR1|CML|D22S11|D22S662|FLJ16453|PHL
614	BCRL2	BCR2
615	BCRL3	BCR3
616	BCRL4	BCR4
617	BCS1L	BCS|BCS1|FLNMS|GRACILE|Hs.6719|h-BCS
618	BCYRN1	BC200|BC200a
619	BCYRN1P1	BC200b
620	BCYRN1P2	BC200g
622	BDH1	BDH|MGC2723|MGC4347|MGC9788
623	BDKRB1	B1BKR|B1R|BKB1R|BKR1|BRADYB1
624	BDKRB2	B2R|BK-2|BK2|BKR2|BRB2|DKFZp686O088
625	BDM	-
626	BDMR	AHO3
627	BDNF	MGC34632
628	BEVI	-
629	CFB	BF|BFD|CFAB|GBG|H2-Bf|PBF2
631	BFSP1	CP115|CP94|FILENSIN|LIFL-H
632	BGLAP	BGP|PMF1
633	BGN	DSPG1|PG-S1|PGI|SLRR1A
634	CEACAM1	BGP|BGP1|BGPI
635	BHMT	-
636	BICD1	BICD
637	BID	MGC15319|MGC42355
638	BIK	BIP1|BP4|NBK
639	PRDM1	BLIMP1|MGC118922|MGC118923|MGC118924|MGC118925|PRDI-BF1
640	BLK	MGC10442
641	BLM	BS|MGC126616|MGC131618|MGC131620|RECQ2|RECQL2|RECQL3
642	BLMH	BH|BMH
643	BLR1	CD185|CXCR5|MDR15|MGC117347
644	BLVRA	BLVR|BVRA
645	BLVRB	BVRB|FLR|MGC117413
646	BNC1	BNC|BSN1|HsT19447
648	BMI1	MGC12685|PCGF4|RNF51
649	BMP1	FLJ44432|PCOLC|PCP|TLD
650	BMP2	BMP2A
651	BMP3	-
652	BMP4	BMP2B|BMP2B1|ZYME
653	BMP5	MGC34244
654	BMP6	VGR|VGR1
655	BMP7	OP-1
656	BMP8B	BMP8|MGC131757|OP2
657	BMPR1A	ACVRLK3|ALK3|CD292
658	BMPR1B	ALK-6|ALK6|CDw293
659	BMPR2	BMPR-II|BMPR3|BMR2|BRK-3|T-ALK
660	BMX	ETK|PSCTK2|PSCTK3
661	POLR3D	BN51T|RPC4|RPC53|TSBN51
662	BNIP1	NIP1|SEC20|TRG-8
663	BNIP2	BNIP-2|NIP2
664	BNIP3	NIP3
665	BNIP3L	BNIP3a|NIX
666	BOK	BCL2L9|BOKL|MGC4631
667	DST	BP240|BPA|BPAG1|CATX-15|D6S1101|DMH|FLJ46791|KIAA0465|KIAA1470|MACF2
668	FOXL2	BPES|BPES1|PFRK|PINTO|POF3
669	BPGM	-
670	BPHL	Bph-rp|MCNAA|MGC125930|MGC41865
671	BPI	-
672	BRCA1	BRCAI|BRCC1|IRIS|PSCP|RNF53
673	BRAF	B-raf 1|BRAF1|MGC126806|MGC138284|RAFB1
675	BRCA2	BRCC2|FACD|FAD|FAD1|FANCB|FANCD|FANCD1
676	BRDT	BRD6
677	ZFP36L1	BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1
678	ZFP36L2	BRF2|ERF-2|ERF2|RNF162C|TIS11D
680	BRS3	-
682	BSG	5F7|CD147|EMMPRIN|M6|OK|TCSF
683	BST1	CD157
684	BST2	CD317
685	BTC	-
686	BTD	-
687	KLF9	BTEB|BTEB1
688	KLF5	BTEB2|CKLF|IKLF
689	BTF3	BETA-NAC|BTF3a|BTF3b|NACB
690	BTF3L1	HUMBTFB|OCIF|OPG|TNFRSF11B
691	BTF3L2	HUMBTFC
692	BTF3L3	HUMBTFD
693	BTF3P1	HUMBTFA
694	BTG1	-
695	BTK	AGMX1|AT|ATK|BPK|IMD1|MGC126261|MGC126262|PSCTK1|XLA
696	BTN1A1	BT|BTN
698	BTS1	-
699	BUB1	BUB1A|BUB1L|hBUB1
700	BVR1	-
