BioI	;SET05265;SET06401;SET07687
HxlA	;SET05338
HxlB	;SET05339
PabC	;SET05553;SET05553
YcbH	;SET05608
MraY	;SET05628;SET05629;SET05630
Dxs	;SET05636
Dxr	;SET05688
UppS	;SET06447;SET07269
NifS	;SET07460
