id	symbol	sid	xref_key	xref_dbname
1868300	BAT2	97048	YJR148W	SGD
1868301	BBC1	97048	MTI1	SGD
1868301	BBC1	97048	YJL020C	SGD
1868301	BBC1	97048	YJL021C	SGD
1868302	BBP1	97048	YPL255W	SGD
1868303	BCD1	97048	YHR040W	SGD
1868304	BCH1	97048	YMR237W	SGD
1868305	BCK1	97048	LAS3	SGD
1868305	BCK1	97048	SAP3	SGD
1868305	BCK1	97048	SLK1	SGD
1868305	BCK1	97048	SSP31	SGD
1868305	BCK1	97048	YJL095W	SGD
1868306	BCK2	97048	CTR7	SGD
1868306	BCK2	97048	YER167W	SGD
1868307	BCP1	97048	YDR361C	SGD
1868308	BCS1	97048	YDR375C	SGD
1868309	BCY1	97048	SRA1	SGD
1868309	BCY1	97048	YIL033C	SGD
1868310	BDF1	97048	YLR399C	SGD
1868311	BDF2	97048	YDL070W	SGD
1868312	BDH1	97048	YAL060W	SGD
1868313	BDP1	97048	TFC5	SGD
1868313	BDP1	97048	YNL039W	SGD
1868314	BDS1	97048	YOL164W	SGD
1868315	BEM1	97048	SRO1	SGD
1868315	BEM1	97048	YBR200W	SGD
1868316	BEM2	97048	IPL2	SGD
1868316	BEM2	97048	SUP9	SGD
1868316	BEM2	97048	TSL1	SGD
1868316	BEM2	97048	YER155C	SGD
1868317	BEM3	97048	YPL115C	SGD
1868318	BEM4	97048	ROM7	SGD
1868318	BEM4	97048	YPL161C	SGD
1868319	BET1	97048	SLY12	SGD
1868319	BET1	97048	YIL004C	SGD
1868320	BET2	97048	YPR176C	SGD
1868321	BET3	97048	YKR068C	SGD
1868322	BET4	97048	YJL031C	SGD
1868323	BET5	97048	YML077W	SGD
1868324	BFA1	97048	IBD1	SGD
1868324	BFA1	97048	YJR053W	SGD
1868325	BFR1	97048	YOR198C	SGD
1868326	BFR2	97048	YDR299W	SGD
1868327	BGL2	97048	YGR282C	SGD
1868328	BI2	97048	Q0110	SGD
1868329	BI3	97048	Q0115	SGD
1868330	BI4	97048	Q0120	SGD
1868331	BIG1	97048	YHR101C	SGD
1868332	BIK1	97048	ARM5	SGD
